"~id","~start_node_id","~end_node_id","~relationship_type"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847151","4:f4b58906-e3ae-4787-871e-1af324202838:175","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847155","4:f4b58906-e3ae-4787-871e-1af324202838:179","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847157","4:f4b58906-e3ae-4787-871e-1af324202838:181","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847160","4:f4b58906-e3ae-4787-871e-1af324202838:184","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847164","4:f4b58906-e3ae-4787-871e-1af324202838:188","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847169","4:f4b58906-e3ae-4787-871e-1af324202838:193","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847196","4:f4b58906-e3ae-4787-871e-1af324202838:220","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847197","4:f4b58906-e3ae-4787-871e-1af324202838:221","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847247","4:f4b58906-e3ae-4787-871e-1af324202838:271","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847249","4:f4b58906-e3ae-4787-871e-1af324202838:273","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847283","4:f4b58906-e3ae-4787-871e-1af324202838:307","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847289","4:f4b58906-e3ae-4787-871e-1af324202838:313","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847308","4:f4b58906-e3ae-4787-871e-1af324202838:332","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847310","4:f4b58906-e3ae-4787-871e-1af324202838:334","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847338","4:f4b58906-e3ae-4787-871e-1af324202838:362","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847339","4:f4b58906-e3ae-4787-871e-1af324202838:363","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847347","4:f4b58906-e3ae-4787-871e-1af324202838:371","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847348","4:f4b58906-e3ae-4787-871e-1af324202838:372","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847354","4:f4b58906-e3ae-4787-871e-1af324202838:378","4:f4b58906-e3ae-4787-871e-1af324202838:21","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847331","4:f4b58906-e3ae-4787-871e-1af324202838:355","4:f4b58906-e3ae-4787-871e-1af324202838:22","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:6919780827454767128","4:f4b58906-e3ae-4787-871e-1af324202838:47","4:f4b58906-e3ae-4787-871e-1af324202838:24","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1155173304420532327","4:f4b58906-e3ae-4787-871e-1af324202838:103","4:f4b58906-e3ae-4787-871e-1af324202838:36","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847035","4:f4b58906-e3ae-4787-871e-1af324202838:59","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847063","4:f4b58906-e3ae-4787-871e-1af324202838:87","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847078","4:f4b58906-e3ae-4787-871e-1af324202838:102","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847082","4:f4b58906-e3ae-4787-871e-1af324202838:106","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847087","4:f4b58906-e3ae-4787-871e-1af324202838:111","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847088","4:f4b58906-e3ae-4787-871e-1af324202838:112","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847089","4:f4b58906-e3ae-4787-871e-1af324202838:113","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
"5:f4b58906-e3ae-4787-871e-1af324202838:1152921504606847104","4:f4b58906-e3ae-4787-871e-1af324202838:128","4:f4b58906-e3ae-4787-871e-1af324202838:41","DEPENDE"
