"~id","~labels","termo","codigo","categoria","ch_teorica","nome","ch_pratica","label","ch_extensao"
"4:f4b58906-e3ae-4787-871e-1af324202838:181","UCS",5,"6168","ELETIVA",36,"TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO I",36,"6168 - TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO I",
"4:f4b58906-e3ae-4787-871e-1af324202838:184","UCS",5,"6092","INTERDISCIPLINAR",24,"TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO III",12,"6092 - TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO III",
"4:f4b58906-e3ae-4787-871e-1af324202838:188","UCS",6,"5096","ELETIVA",20,"APLICAÇÕES DE ROBÓTICA MÓVEL",52,"5096 - APLICAÇÕES DE ROBÓTICA MÓVEL",
"4:f4b58906-e3ae-4787-871e-1af324202838:193","UCS",6,"2831","ELETIVA",36,"BANCO DE DADOS",36,"2831 - BANCO DE DADOS",16
"4:f4b58906-e3ae-4787-871e-1af324202838:220","UCS",6,"4781","ELETIVA",20,"DESENVOLVIMENTO DE APLICAÇÕES ROBÓTICAS",52,"4781 - DESENVOLVIMENTO DE APLICAÇÕES ROBÓTICAS",
"4:f4b58906-e3ae-4787-871e-1af324202838:221","UCS",6,"8536","INTERDISCIPLINAR",36,"DESENVOLVIMENTO DE GAMES",36,"8536 - DESENVOLVIMENTO DE GAMES",36
"4:f4b58906-e3ae-4787-871e-1af324202838:271","UCS",6,"3489","ELETIVA",36,"INTRODUÇÃO ÀS REDES NEURAIS ARTIFICIAIS",36,"3489 - INTRODUÇÃO ÀS REDES NEURAIS ARTIFICIAIS",
"4:f4b58906-e3ae-4787-871e-1af324202838:273","UCS",6,"8668","ELETIVA",36,"LABORATÓRIO AVANÇADO DE MÉTODOS AGÉIS E SOFTWARE LIVRE",36,"8668 - LABORATÓRIO AVANÇADO DE MÉTODOS AGÉIS E SOFTWARE LIVRE",
"4:f4b58906-e3ae-4787-871e-1af324202838:307","UCS",6,"3047","ELETIVA",42,"MULTIMÍDIA",30,"3047 - MULTIMÍDIA",
"4:f4b58906-e3ae-4787-871e-1af324202838:313","UCS",6,"3581","ELETIVA",48,"PROCESSAMENTO DE IMAGENS",24,"3581 - PROCESSAMENTO DE IMAGENS",
"4:f4b58906-e3ae-4787-871e-1af324202838:332","UCS",6,"6165","ELETIVA",48,"RECUPERAÇÃO DE INFORMAÇÃO MULTIMÍDIA",24,"6165 - RECUPERAÇÃO DE INFORMAÇÃO MULTIMÍDIA",
"4:f4b58906-e3ae-4787-871e-1af324202838:334","UCS",6,"9014","ELETIVA",72,"REDES NEURAIS E APRENDIZADO PROFUNDO",0,"9014 - REDES NEURAIS E APRENDIZADO PROFUNDO",
"4:f4b58906-e3ae-4787-871e-1af324202838:362","UCS",6,"6167","ELETIVA",36,"TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO II",36,"6167 - TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO II",
